Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Richard Tran Mills,Argonne National Laboratory,https://scholar.google.com/citations?view_op=view_org&hl=en&org=5159551652619546637,Verified email at anl.gov - Homepage,http://climatemodeling.org/~rmills,9598,4227,27,22,44,30,computational sciencehigh-performance computingearth sciencehydrologymachine learning,https://scholar.google.com/citations?hl=en&user=5B0ZzWMAAAAJ
Thanh Tran,Upwork,,Verified email at upwork.com - Homepage,https://sites.google.com/site/kimducthanh/chaoban,5867,2158,40,26,99,55,Web SearchSemantic SearchSemantic WebMachine Learning,https://scholar.google.com/citations?hl=en&user=rczbg0oAAAAJ
Hien Tran,"Professor of Mathematics, Director of Center for Research in Scientific Computation, NC State",,Verified email at ncsu.edu - Homepage,https://math.sciences.ncsu.edu/people/tran/,5345,1846,33,20,76,38,Scientific computationmathematical modelingcontrolmachine learning,https://scholar.google.com/citations?hl=en&user=EodhRsIAAAAJ
Brendan Tran Morris,"Associate Professor of Electrical and Computer Engineering, University of Nevada, Las Vegas",https://scholar.google.com/citations?view_op=view_org&hl=en&org=17605552158869246793,Verified email at unlv.edu - Homepage,http://rtis.oit.unlv.edu/,4627,2422,28,23,44,32,Intelligent SystemsComputer VisionMachine LearningIntelligent Transportation SystemsAutonomous Systems,https://scholar.google.com/citations?hl=en&user=uFH3IMwAAAAJ
Hieu Tran,Microchip Technology,,Verified email at microchip.com,,4167,1181,33,14,98,25,emerging memoryneural networksneuromorphicmachine learningnon-volatile memories,https://scholar.google.com/citations?hl=en&user=1xBeHbAAAAAJ
Han Altae-Tran,"Postdoctoral Fellow, University of Washington",https://scholar.google.com/citations?view_op=view_org&hl=en&org=5340226318625937772,Verified email at uw.edu,,3863,2839,18,18,21,21,BioinformaticsBiochemistryMachine learningAlgorithmsBig Data,https://scholar.google.com/citations?hl=en&user=EX17JIcAAAAJ
Dat Tran,University of Canberra,https://scholar.google.com/citations?view_op=view_org&hl=en&org=15755273586421476520,Verified email at canberra.edu.au - Homepage,http://staff.estem-uc.edu.au/dtran/,3597,1440,29,18,100,44,Machine LearningComputational IntelligenceKnowledge DiscoveryData MiningArtificial Intelligence,https://scholar.google.com/citations?hl=en&user=ou6EPHMAAAAJ
Luan Tran,"Research Scientist, Facebook Reality Labs",,Verified email at fb.com - Homepage,http://cse.msu.edu/~tranluan/,3175,2963,16,16,19,19,Deep LearningMachine LearningComputer Vision,https://scholar.google.com/citations?hl=en&user=YV0TVrQAAAAJ
"Les Folio, DO, MPH, CIIP","Professor of oncologic sciences, University of South Florida",,Verified email at moffitt.org,,8139,6006,36,32,79,59,Body radiologyinteractive reportingmachine learning,https://scholar.google.com/citations?hl=en&user=eGnhP2UAAAAJ
Tuan Do,UCLA,https://scholar.google.com/citations?view_op=view_org&hl=en&org=14108176128635076915,Verified email at astro.ucla.edu - Homepage,http://astro.ucla.edu/~tdo/,7935,4554,40,34,84,75,AstronomyGalactic CenterCosmologyMachine LearningAdaptive Optics,https://scholar.google.com/citations?hl=en&user=ZYkk-uoAAAAJ
Thanh-Toan Do,"Senior Lecturer, Monash University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3918598370877205258,Verified email at monash.edu - Homepage,https://sites.google.com/view/thanhtoando/home,3399,2892,31,28,63,57,Computer VisionRobotic VisionMachine Learning,https://scholar.google.com/citations?hl=en&user=nihSW_QAAAAJ
Thong T. Do,Postdoctoral Fellow at the U.S. Army Research Lab,,Verified email at jhu.edu - Homepage,https://sites.google.com/site/thongdojhu/,2836,1136,15,10,18,11,Signal processingcompressive sensingsparse signal representationdata miningmachine learning,https://scholar.google.com/citations?hl=en&user=tof834wAAAAJ
Trinh Minh Tri DO,Idiap Research Institute,https://scholar.google.com/citations?view_op=view_org&hl=en&org=1100755567627873932,Verified email at idiap.ch,,2571,860,18,13,23,14,Machine LearningUbiquitous Computing,https://scholar.google.com/citations?hl=en&user=wV5qZAQAAAAJ
Quoc V. Le,"Research Scientist, Google",,Verified email at stanford.edu - Homepage,http://cs.stanford.edu/~quocle,272592,240555,136,129,255,247,Machine LearningArtificial IntelligenceDeep LearningAI,https://scholar.google.com/citations?hl=en&user=vfT6-XIAAAAJ
Le Song,"Biomap,  Mohamed bin Zayed University of Artificial Intelligence",,Verified email at biomap.com - Homepage,https://dasongle.github.io/index.html,34625,26764,85,72,216,195,Machine Learning,https://scholar.google.com/citations?hl=en&user=Xl4E0CsAAAAJ
Le Thi Hoai An,university of Lorraine,https://scholar.google.com/citations?view_op=view_org&hl=en&org=1997201085834785197,Verified email at univ-lorraine.fr,,11368,5273,47,32,166,88,mathematical optimizationDC programming & DCAmachine learningoperations research,https://scholar.google.com/citations?hl=en&user=FMzNuMUAAAAJ
Le Zhang,"Professor, University of Electronic Science and Technology of China",,Verified email at e.ntu.edu.sg - Homepage,http://zhangleuestc.cn/,9815,8875,43,43,66,65,Ensemble learningMachine LearningComputer Vision,https://scholar.google.com/citations?hl=en&user=61LOyWUAAAAJ
Nguyen Le Minh,Professor - JAIST,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4208498446222246415,Verified email at jaist.ac.jp,,5389,3343,31,25,105,62,Natural Language ProcessingMachine LearningLegal Text ProcessingDeep LearningAI & Law,https://scholar.google.com/citations?hl=en&user=vM9772wAAAAJ
Le Liang,Southeast University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=5111565628253151701,Verified email at seu.edu.cn - Homepage,http://www.liang-seu.net/,4746,4161,23,22,31,29,Wireless CommunicationsMachine learning,https://scholar.google.com/citations?hl=en&user=Iv2E-SsAAAAJ
