Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Ni Trieu,Arizona State University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=856495938334247183,Verified email at asu.edu - Homepage,https://nitrieu.github.io/,1913,1828,16,15,20,19,cryptography,https://scholar.google.com/citations?hl=en&user=AZgugwsAAAAJ
Tony Pham,"Assistant Professor of Instruction, University of South Florida",https://scholar.google.com/citations?view_op=view_org&hl=en&org=14060067174649929731,Verified email at usf.edu,,9553,6627,46,38,97,92,Modeling of Metal–Organic Materials,https://scholar.google.com/citations?hl=en&user=bI599PAAAAAJ
Pham Dinh Tao,"Professor Emeritus of Applied Mathematics, Laboratory of Mathematics, INSA-Rouen, Normandie, 76801",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11757796089323842028,Verified email at insa-rouen.fr,,8572,3269,39,21,111,52,Numerical AnalysisMathematical OptimizationDC Programming & DCAOperations Research,https://scholar.google.com/citations?hl=en&user=9IGkmdgAAAAJ
Tuan D. Pham,"Barts and The London School of Medicine and Dentistry, Queen Mary University of London",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11628095156398365105,Verified email at qmul.ac.uk - Homepage,https://sites.google.com/view/tuan-d-pham/home,7861,4203,42,31,148,84,AIImagingSignalsDiagnosticsTrauma,https://scholar.google.com/citations?hl=en&user=dvPaFIkAAAAJ
Nhat Trung Doan,University of Oslo,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4617098211100467394,Verified email at medisin.uio.no - Homepage,http://www.med.uio.no/klinmed/english/people/aca/nhattd/index.html,9438,8506,43,42,62,58,machine learningimaging geneticsdeep learning,https://scholar.google.com/citations?hl=en&user=H2whtRcAAAAJ
Minh Doan,"M.D., Ph.D., Head of Bioimaging Analytics, GlaxoSmithKline",,Verified email at broadinstitute.org,,3499,3335,19,18,24,22,MedicineBioimagingMachine learningData analyticsIntegrative multi-omics,https://scholar.google.com/citations?hl=en&user=M6_hL-AAAAAJ
Doan Hoang,"Professor, University of Technology Sydney",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10906564628192137533,Verified email at uts.edu.au - Homepage,https://profiles.uts.edu.au/Doan.Hoang,3056,1192,25,17,70,26,Software Defined Infrastructures: NetworksIoTs and Clouds)CybersecurityDeep Learningand Assistive Healthcare,https://scholar.google.com/citations?hl=en&user=sJa3rikAAAAJ
Son Doan,Kaiser Permanente,https://scholar.google.com/citations?view_op=view_org&hl=en&org=3575131596673458003,Verified email at kp.org,,2474,1013,21,15,33,22,Natural Language ProcessingArtificial IntelligenceBiomedical Informatics,https://scholar.google.com/citations?hl=en&user=zIJaWPEAAAAJ
Bao Gia Doan,"Postdoctoral Research Fellow, University of Adelaide",https://scholar.google.com/citations?view_op=view_org&hl=en&org=9499157965008867783,Verified email at adelaide.edu.au - Homepage,https://researchers.adelaide.edu.au/profile/giabao.doan,680,679,5,5,5,5,Machine Learning SecurityDeep Learning RobustnessArtificial IntelligenceSecurity,https://scholar.google.com/citations?hl=en&user=IKf830cAAAAJ
Nicola Bui,"SR Research Engineer, Bastille",,Verified email at bastille.io,,11114,6649,24,17,47,25,LTESecurity,https://scholar.google.com/citations?hl=en&user=OnWzYPIAAAAJ
